Algorithm,N,Time,Comparisons
TriBulle,100,0.000100,4779
TriBulleOpt,100,0.000000,4554
TriGnaque,100,0.000000,3725
TriParTas,100,0.000000,1031
TriRapide,100,0.000000,597
TriDistribution,100,0.001000,19800
TriBulle,500,0.000500,124047
TriBulleOpt,500,0.000400,121005
TriGnaque,500,0.000400,95104
TriParTas,500,0.000100,7405
TriRapide,500,0.000000,4788
TriDistribution,500,0.026400,499000
TriBulle,1000,0.002000,498122
TriBulleOpt,1000,0.001900,497429
TriGnaque,1000,0.001600,378222
TriParTas,1000,0.000100,16850
TriRapide,1000,0.000100,11028
TriDistribution,1000,0.106500,1998000
TriBulle,2000,0.008100,1994535
TriBulleOpt,2000,0.007500,1988880
TriGnaque,2000,0.006200,1508455
TriParTas,2000,0.000300,37618
TriRapide,2000,0.000200,23976
TriDistribution,2000,0.440500,7996000
TriBulle,5000,0.061400,12495789
TriBulleOpt,5000,0.056500,12488991
TriGnaque,5000,0.042500,9388729
TriParTas,5000,0.000900,107661
TriRapide,5000,0.000500,71005
TriDistribution,5000,3.359000,49990000
